ExampleA	ExampleA
Reference pedigree	Family tree
0.00483663	1.18608
0.00481361	1.15648
0.00469845	1.1373
0.00463932	1.11872
0.00463426	1.09039
0.00459576	1.0654
0.00459251	1.04448
0.00453565	1.0174
0.00443595	0.995199
0.00441949	0.974626
0.00441691	0.959562
0.00441011	0.952942
0.00439931	0.945896
0.00426576	0.916126
0.00419101	0.905354
0.00417688	0.893603
0.00414965	0.889834
0.00403072	0.849335
0.00402244	0.828301
0.0039846	0.794466
0.00398407	0.78351
0.00395055	0.78092
0.00385354	0.776964
0.0037313	0.774623
0.00372237	0.773944
0.00369178	0.758508
0.00365306	0.745496
0.00365058	0.73481
0.00360527	0.724036
0.00356067	0.716512
0.00351118	0.69354
0.00348257	0.687932
0.00347987	0.675222
0.00346939	0.673653
0.00345854	0.657298
0.00336924	0.552332
0.00335806	0.549868
0.00335399	0.532711
0.00335033	0.524957
0.00330707	0.511709
0.00327887	0.508732
0.00327361	0.507666
0.00325325	0.507302
0.00322779	0.494599
0.00321041	0.493492
0.00305221	0.488093
0.00304426	0.475837
0.00303933	0.474814
0.00303857	0.460958
0.00299637	0.458951
0.00299619	0.450579
0.00296309	0.448562
0.00295288	0.448018
0.00293986	0.434869
0.00292573	0.424282
0.00292249	0.412675
0.0028656	0.408183
0.00286074	0.406127
0.00275571	0.394132
0.00268002	0.393962
0.00267997	0.392183
0.00267068	0.391779
0.00265046	0.39121
0.0026364	0.378586
0.0026191	0.36398
0.00260122	0.363371
0.00254814	0.35049
0.0023598	0.349133
0.0023382	0.337731
0.00230199	0.33482
0.0022967	0.330014
0.00228213	0.32677
0.00223154	0.326573
0.00222715	0.326335
0.00219208	0.324491
0.00218832	0.299378
0.0021184	0.28979
0.00211469	0.288604
0.00206937	0.286901
0.0020659	0.278216
0.00204305	0.273195
0.0020316	0.262006
0.00202989	0.259437
0.00198707	0.259221
0.00195912	0.253506
0.00195736	0.252686
0.00195073	0.243484
0.00193484	0.236679
0.00189893	0.236138
0.00186239	0.23427
0.00182934	0.233402
0.00175462	0.227506
0.00171696	0.226605
0.0016979	0.223192
