Ejemplo_TP	Ejemplo_RP
64.6927	1.54047
64.442	1.53945
64.3358	1.53829
64.3026	1.53497
64.2789	1.53293
64.1695	1.53057
64.1623	1.52944
64.0768	1.52705
64.0657	1.52702
64.0135	1.52374
63.8403	1.52261
63.8327	1.52172
63.757	1.52147
63.7155	1.52139
63.7135	1.5175
63.5982	1.51574
63.5111	1.51538
63.3978	1.51376
63.2305	1.51195
63.122	1.50914
63.0622	1.50775
63.0599	1.50469
63.0365	1.50395
63.0027	1.50254
62.9416	1.50205
62.9401	1.50153
62.9381	1.49878
62.887	1.49839
62.7537	1.49723
62.7392	1.49702
62.7249	1.49451
62.3792	1.49394
62.2397	1.4937
62.2077	1.49325
62.0563	1.49127
61.8384	1.49035
61.7948	1.48851
61.7894	1.48774
61.772	1.48729
61.7079	1.487
61.6522	1.48527
61.52	1.48495
61.505	1.48446
61.3357	1.48294
61.2689	1.482
61.2688	1.48133
61.2673	1.47931
61.2297	1.47926
61.0879	1.47828
61.0136	1.47789
60.9904	1.47602
60.9828	1.47599
60.6718	1.47416
60.4563	1.46964
60.4271	1.46948
60.4032	1.46838
60.3482	1.46672
60.345	1.46578
60.2811	1.46506
60.1526	1.46299
60.1195	1.46266
60.0416	1.46192
60.0026	1.46156
59.9237	1.45801
59.8325	1.45749
59.7653	1.45646
59.6918	1.45583
59.6226	1.45535
59.5712	1.45529
59.554	1.45497
59.5156	1.45486
59.3855	1.45347
59.2735	1.4526
59.2108	1.45036
59.1925	1.44957
59.0349	1.44948
58.9099	1.4493
58.9077	1.44905
58.7943	1.44822
58.7591	1.44665
58.6326	1.44587
58.591	1.44536
58.4511	1.44282
58.438	1.44205
58.3921	1.44099
58.3367	1.44092
58.2398	1.43943
58.1112	1.4366
57.9671	1.43632
57.9189	1.43631
57.8656	1.43615
57.7949	1.43562
57.7263	1.43522
57.704	1.43509
57.5654	1.43499
57.3731	1.43317
57.366	1.43304
57.2966	1.43027
57.2834	1.42945
57.2369	1.42919
57.1696	1.4286
56.9548	1.42852
56.9527	1.42758
56.9443	1.42416
56.8313	1.4223
56.6199	1.42078
56.5933	1.4204
56.5754	1.41878
56.2563	1.41745
56.1775	1.41594
56.0249	1.41434
56.0202	1.41257
55.988	1.41253
55.9551	1.41052
55.6579	1.40821
55.5748	1.40711
55.5493	1.40391
55.5383	1.40349
55.5088	1.40247
55.4917	1.40239
55.4763	1.40078
55.4606	1.40065
55.4076	1.39976
55.39	1.39925
55.3885	1.3986
55.312	1.39772
55.244	1.39723
55.2306	1.39527
55.2124	1.39475
55.1742	1.38893
55.1231	1.3889
55.0659	1.3888
55.0261	1.38842
54.9225	1.38823
54.9218	1.38676
54.7792	1.38667
54.7552	1.38631
54.7066	1.38445
54.6329	1.38437
54.6015	1.38233
54.6001	1.3823
54.5632	1.37788
54.5454	1.37725
54.5323	1.37683
54.3477	1.37665
54.1237	1.37603
54.0653	1.37571
54.0496	1.37475
