ExampleD	ExampleD
Reference Pedigree	Family tree
0.00580574	5416050
0.00579038	5409680
0.00577038	5396360
0.00574478	5383150
0.00574336	5379390
0.00574077	5369250
0.00573938	5357130
0.00572752	5330830
0.00570459	5306780
0.00569405	5300930
0.00569299	5283890
0.00568976	5271010
0.00568433	5268860
0.00567265	5268750
0.00566696	5260960
0.00566533	5238780
0.00565939	5229130
0.00565637	5222340
0.00564967	5217180
0.00563142	5210180
0.00562834	5204580
0.00561066	5199470
0.00559599	5188290
0.0055952	5175970
0.00556698	5155980
0.00554001	5137430
0.00553622	5120780
0.00553387	5117670
0.00552714	5117310
0.00551861	5103030
0.00547765	5098610
0.00547702	5089960
0.00542848	5086830
0.00542493	5085700
0.00542	5078920
0.00541675	5061130
0.0054152	5051390
0.00536808	5018340
0.00536573	5017390
0.00534856	4998990
0.00534831	4989390
0.0053455	4987710
0.00534104	4986390
0.00531662	4982460
0.00530112	4939630
0.00528397	4915790
0.0052738	4903090
0.00525374	4881330
0.00523719	4872630
0.00522875	4866610
0.00521066	4860070
0.00520711	4856160
0.0051989	4852700
0.00516467	4850410
0.00515117	4842610
0.00514754	4836570
0.0051409	4824560
0.00514074	4820970
0.00512687	4817970
0.00512553	4790640
0.00509173	4786830
0.00505947	4781070
0.00502841	4773830
0.00502576	4773530
0.00501912	4764010
0.0050174	4744660
0.00500551	4728630
0.00499999	4723340
0.00499798	4722830
0.00495174	4709610
0.00494549	4684320
0.00491303	4675180
0.00490189	4672420
0.00488924	4662920
0.00488445	4660610
0.00487996	4636350
0.00484965	4583570
0.0048442	4531950
0.00482034	4483510
0.00480188	4473820
0.0047981	4456250
0.00479771	4450990
0.00479185	4445940
0.00478871	4444220
0.00478849	4442980
0.00478747	4433340
0.00477694	4421360
0.00477584	4417890
0.00476827	4414290
0.00474909	4409740
0.00474563	4396150
0.0047131	4387620
0.00470411	4372720
0.00468671	4357790
0.00467743	4352040
0.00463685	4351750
0.0046202	4336160
0.00461737	4326800
0.00460311	4320430
0.00456576	4315620
0.00456508	4314510
0.00456178	4312730
0.0045452	4300790
0.00453429	4296170
0.00453328	4288200
0.00451754	4285270
0.00451547	4276570
0.00450639	4268460
0.00450135	4266880
0.00448314	4255120
0.00448004	4254960
0.00447702	4242360
0.00446797	4236100
0.00444745	4234360
0.00444488	4199220
0.00443129	4197890
0.00442899	4190530
0.00442679	4186480
0.00442143	4182690
0.004414	4179430
0.00440125	4146510
0.00438139	4143260
0.00437263	4135670
0.004359	4131130
0.0043474	4130530
0.00432752	4121120
0.00431085	4120760
0.00426524	4107910
0.00426424	4107350
0.00426204	4090550
0.00425977	4084900
0.00424641	4084110
0.00424563	4078990
0.0042416	4078760
0.00423944	4066120
0.00423311	4054490
0.00422353	4054240
0.00420247	4046830
0.00420038	4045390
0.00419597	4044150
0.00419499	4037100
0.0041871	4019700
0.00417321	4015770
0.00416466	4005580
0.00416106	4003290
0.00415065	3981620
0.00414834	3972570
0.00414546	3971740
0.0041451	3971550
0.00414498	3954840
0.00414422	3949410
0.00411097	3925470
0.00410299	3919020
0.00409125	3912240
0.00409122	3903800
0.00408726	3900440
0.00408142	3898380
0.00408098	3894140
0.0040606	3869650
0.00405444	3862370
0.00402137	3860500
0.00401551	3860420
0.00401513	3851390
0.00400316	3849080
0.00399605	3838280
0.00397949	3834810
0.0039732	3829480
0.00395763	3815010
0.00394942	3793540
0.00392627	3785550
0.00392322	3784300
0.00390101	3784290
0.00389654	3776960
0.00389349	3769640
0.00387718	3760050
0.00387172	3758700
0.00386203	3752620
0.00386109	3748000
0.00385893	3747930
0.00385823	3747680
0.00385218	3735040
0.00384829	3731700
0.00384502	3717480
0.00383955	3694160
0.00383437	3692940
0.00379191	3685260
0.00378832	3664760
0.0037675	3664110
0.00376391	3652050
0.00374407	3648300
0.00374337	3645940
0.00373191	3637830
0.00371875	3637700
0.00371687	3635530
0.00370728	3600170
0.00370233	3579490
0.00366861	3574020
0.00366854	3572940
0.00366481	3563190
0.00364676	3562440
0.00364213	3557020
0.00364145	3548460
0.00364025	3518800
0.00363136	3518700
0.0036283	3515150
0.0036194	3511370
0.00360336	3507910
0.00359916	3507490
0.00359672	3503920
0.00358842	3502240
0.00358365	3497480
0.00358011	3490910
0.00357806	3487620
0.00356237	3485840
0.0035543	3484280
0.00352999	3477790
0.00352942	3470600
0.00351318	3465290
0.00349712	3459350
0.0034938	3453280
0.0034892	3451780
0.00347764	3451680
0.00347626	3447090
0.00347163	3430080
0.00345067	3429680
0.00344394	3427410
0.00343475	3394170
0.00343405	3383490
0.00341442	3379040
0.00339251	3378830
0.00338981	3374610
0.00338115	3369570
0.00335676	3359590
0.00334511	3357820
0.00333755	3336170
0.00332173	3331310
0.00331024	3325510
0.00330734	3314970
0.00330174	3308840
0.00330139	3294610
0.0032975	3290340
0.00329596	3285700
0.00328522	3284970
0.0032806	3276790
0.0032608	3276220
0.00325891	3275670
0.00325735	3273310
0.00325261	3271470
0.00324991	3255850
0.00324636	3244390
0.0032392	3200370
0.00323038	3189710
0.00322155	3180150
0.00322135	3177620
0.0032078	3170940
0.00318021	3169090
0.00317774	3160360
0.00316979	3155610
0.00315508	3149450
0.00314794	3148730
0.00313993	3146450
0.00313636	3143800
0.00312839	3142570
0.00312534	3133410
0.00312492	3115500
0.00312412	3099610
0.00312379	3093080
0.0031215	3091230
0.00312094	3084840
0.0031005	3083640
0.00309599	3082050
0.00309551	3081620
0.00308928	3080140
0.00308925	3075860
0.00307885	3071000
0.00307848	3069620
0.00307604	3064030
0.00307049	3053320
0.00306678	3047570
0.0030662	3040180
0.00306485	3039370
0.00306022	3032740
0.00305431	3018810
0.0030542	3016440
0.00304685	3015600
0.00303896	3013910
0.00303844	2990550
0.00300518	2987980
0.00299058	2984080
0.0029858	2978760
0.0029844	2966770
0.00298054	2956560
0.002976	2946790
0.00297331	2941270
0.00296987	2938520
0.00296854	2932970
0.00296687	2920860
0.00296384	2904840
0.00296059	2897000
0.00295894	2896120
0.00295875	2886300
0.00295831	2882850
0.00295805	2881150
0.00295665	2874000
0.00294764	2872000
0.00294752	2871030
0.0029391	2862350
0.00293458	2857950
0.00292919	2853630
0.00292364	2850770
0.00292004	2850610
0.0029113	2848240
0.00288754	2843520
0.00288531	2842820
0.0028739	2841730
0.00286653	2831150
0.00286551	2830820
0.00286429	2823530
0.00285708	2822980
0.00285645	2817710
0.00284001	2815530
0.00283537	2812490
0.00283193	2803220
0.00282099	2798670
0.00281943	2776780
0.00281519	2776470
0.0028128	2775670
0.00280508	2773810
0.00280463	2765270
0.00278996	2765210
0.0027824	2765020
0.00276769	2763690
